sigla, unidad_curricular, curso_modulo
SLP-3M, Sistemas Lógicos Programáveis, 3° Téc Mecatrônica - Presencial
ICLP-4N, Introdução a Controladores Lógicos Programaveis , 4° Mecânica Presencial
FE-4N, Fundamentos Elétricos, 4° Mecânica Presencial
EP-4N, Eletropneumática, 4° Mecânica Presencial
EH-4N, Eletrohidráulica, 4° Mecânica Presencial
SAM-4N, Sistemas Automatizados de Manufatura, 4° Mecatrônica Presencial
SLP-3MN, Sistemas Lógicos Programáveis, 3° Mecatrônica Presencial
FI1ASEG, Fundamentos da Instrumentação, 1° Téc Automação EAD - Segunda
IVF1, Inversores de Frequência, Inversores de Frequência - Mais Qualificação
EASAII-2AS, Eletrônica Aplicada à Sistemas Automatizados, 2° Automação EAD - Segunda Noite
RSCE-GM, Relações socioprofissionais&cidadania e ética, Assistente Administrativo - Guarda Mirim
CI-1AUT, Comunicação e Informática Aplicada, 1° Téc Automação Presencial
FE-1AUT, Fundamentos de Eletroeletrônica, 1° Téc Automação Presencial
FM-2B, Fundamentos mecânicos , NEM Mecatrônica 2° B
SLP-3C, Sistemas Lógicos Programáveis , NEM Automação 3° C
TICAI-3C, Tecnologias da Informação e Comunicação Aplicadas à Industria 4.0 , NEM Automação 3° C
CPH-3B, Circuitos Eletropneumáticos e Eletro hidráulicos Aplicados a Manufatura, NEM 3° B
FE-2C, Fundamentos de Eletricidade , NEM Automação  2° C
AE-2C, Acionamentos Eletroeletrônicos , NEM Automação  2° C
FEI-JK, Fundamentos da eletricidade industrial, Téc Eletromecânica 2° Ano Itinerário V - Juscelino
FEI-1E, Fundamentos da Eletricidade Industrial, 1° Téc Eletromecânica EAD - Sábado
SII-3C, Sistemas de Intertravamento Industrial , NEM Automação 3° C
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
FE-1AUT, Fundamentos de Eletroeletrônica, 1° Téc Automação Presencial
LP-1AUT, Lógica de Programação, 1° Téc Automação Presencial
CIPI-1AUT, Criatividade e Ideação em Projetos de Inovação, 1° Téc Automação Presencial
AE-2C, Acionamentos Eletroeletrônicos , NEM Automação  2° C
DHP-2C, Diagramas Hidráulicos e Pneumáticos, NEM Automação  2° C
FI-2C, Fundamentos da Instrumentação, NEM Automação  2° C
AE-2B, Acionamentos Eletroeletrônicos , NEM Mecatrônica 2° B
MVEM-2B, Modelagem Virtual de Elementos Mecânicos, NEM Mecatrônica 2° B
EASA-2B, Eletrônica Aplicada a Sistemas Automatizados , NEM Mecatrônica 2° B
FEI-JK, Fundamentos da eletricidade industrial, Téc Eletromecânica 2° Ano Itinerário V - Juscelino
GMI-3C, Gestão da Manutenção Industrial , NEM Automação 3° C
PSCI-3C, Projetos de Sistemas de Controle Industrial , NEM Automação 3° C
TICAI-3C, Tecnologias da Informação e Comunicação Aplicadas à Industria 4.0 , NEM Automação 3° C
MSE, Montagem de Sistemas Elétricos, 2 Tec. Eletromecânica
WK , Treinamento Wordskills, Elétrica
PIM4M, Projeto de Inovação Mecânica, 4° Mecânica EAD - Sábado
